['epoch', 0, 'accu:', '49.02', 'mae:', '5.03', 'TP:', 150, 'TN', 0, 'FP', 156, 'FN', 0, 'mse:', '32.34']
['epoch', 0, 'accu:', '49.02', 'mae:', '5.03', 'TP:', 150, 'TN', 0, 'FP', 156, 'FN', 0, 'mse:', '32.34']
['epoch', 1, 'accu:', '51.63', 'mae:', '4.78', 'TP:', 2, 'TN', 156, 'FP', 0, 'FN', 148, 'mse:', '23.54']
['epoch', 2, 'accu:', '62.42', 'mae:', '4.42', 'TP:', 92, 'TN', 99, 'FP', 57, 'FN', 58, 'mse:', '12.46']
['epoch', 3, 'accu:', '67.97', 'mae:', '4.52', 'TP:', 58, 'TN', 150, 'FP', 6, 'FN', 92, 'mse:', '9.76']
['epoch', 6, 'accu:', '68.95', 'mae:', '4.38', 'TP:', 86, 'TN', 125, 'FP', 31, 'FN', 64, 'mse:', '8.37']
['epoch', 25, 'accu:', '69.93', 'mae:', '4.30', 'TP:', 101, 'TN', 113, 'FP', 43, 'FN', 49, 'mse:', '7.25']
['epoch', 200, 'accu:', '52.94', 'mae:', '4.79', 'TP:', 93, 'TN', 69, 'FP', 87, 'FN', 57, 'mse:', '5.59']
['epoch', 400, 'accu:', '55.56', 'mae:', '4.60', 'TP:', 89, 'TN', 81, 'FP', 75, 'FN', 61, 'mse:', '5.86']
['epoch', 584, 'accu:', '71.90', 'mae:', '3.21', 'TP:', 92, 'TN', 128, 'FP', 28, 'FN', 58, 'mse:', '5.42']
['epoch', 599, 'accu:', '73.53', 'mae:', '3.33', 'TP:', 96, 'TN', 129, 'FP', 27, 'FN', 54, 'mse:', '5.33']
['epoch', 600, 'accu:', '65.03', 'mae:', '3.54', 'TP:', 102, 'TN', 97, 'FP', 59, 'FN', 48, 'mse:', '5.39']
['epoch', 787, 'accu:', '74.18', 'mae:', '3.49', 'TP:', 100, 'TN', 127, 'FP', 29, 'FN', 50, 'mse:', '5.32']
['epoch', 800, 'accu:', '68.95', 'mae:', '3.65', 'TP:', 100, 'TN', 111, 'FP', 45, 'FN', 50, 'mse:', '5.29']
['epoch', 984, 'accu:', '74.84', 'mae:', '3.36', 'TP:', 100, 'TN', 129, 'FP', 27, 'FN', 50, 'mse:', '5.27']
['epoch', 986, 'accu:', '75.16', 'mae:', '3.23', 'TP:', 97, 'TN', 133, 'FP', 23, 'FN', 53, 'mse:', '5.27']
